PHỤ LỤC E
Đặc tả danh mục đơn vị hành chính Ban hành kèm theo Công văn số 915/CTK-CSCL ngày 16 tháng 6 năm 2025 của Cục Thống kê
E.1. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP TỈNH

E.2. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP XÃ

E.3. CHUYỂN ĐỔI ĐƠN VỊ HÀNH CHÍNH SANG XSD
Chuyển đổi dữ liệu của đơn vị hành chính cấp Tỉnh và Xã sang định nghĩa SimpleType trong cấu trúc đặc tả bằng ngôn ngữ XSD


--- TABLE 1 ---
Stt	Mã số	Tên 34 tỉnh sau sáp nhập
1	01	Thành phố Hà Nội
2	04	Cao Bằng
3	08	Tuyên Quang
4	11	Điện Biên
5	12	Lai Châu
6	14	Sơn La
7	15	Lào Cai
8	19	Thái Nguyên
9	20	Lạng Sơn
10	22	Quảng Ninh
11	24	Bắc Ninh
12	25	Phú Thọ
13	31	Thành phố Hải Phòng
14	33	Hưng Yên
15	37	Ninh Bình
16	38	Thanh Hóa
17	40	Nghệ An
18	42	Hà Tĩnh
19	44	Quảng Trị
20	46	Thành phố Huế
21	48	Thành phố Đà Nẵng
22	51	Quảng Ngãi
23	52	Gia Lai
24	56	Khánh Hòa
25	66	Đắk Lắk
26	68	Lâm Đồng
27	75	Đồng Nai
28	79	Thành phố Hồ Chí Minh
29	80	Tây Ninh
30	82	Đồng Tháp
31	86	Vĩnh Long
32	91	An Giang
33	92	Thành phố Cần Thơ
34	96	Cà Mau

--- TABLE 2 ---
Stt	Mã số	Tên đơn vị hành chính	Tỉnh (thành phố)
1185	12841	Xã Bắc Thái Ninh	Tỉnh Hưng Yên
1186	12922	Xã Thái Ninh	Tỉnh Hưng Yên
1187	12943	Xã Đông Thái Ninh	Tỉnh Hưng Yên
1188	12961	Xã Nam Thái Ninh	Tỉnh Hưng Yên
1189	12919	Xã Tây Thái Ninh	Tỉnh Hưng Yên
1190	12850	Xã Tây Thụy Anh	Tỉnh Hưng Yên
1191	12970	Xã Tiền Hải	Tỉnh Hưng Yên
1192	13039	Xã Tây Tiền Hải	Tỉnh Hưng Yên
1193	13021	Xã Ái Quốc	Tỉnh Hưng Yên
1194	13003	Xã Đồng Châu	Tỉnh Hưng Yên
1195	12988	Xã Đông Tiền Hải	Tỉnh Hưng Yên
1196	13057	Xã Nam Cường	Tỉnh Hưng Yên
1197	13066	Xã Hưng Phú	Tỉnh Hưng Yên
1198	13063	Xã Nam Tiền Hải	Tỉnh Hưng Yên
1199	12472	Xã Quỳnh Phụ	Tỉnh Hưng Yên
1200	12511	Xã Minh Thọ	Tỉnh Hưng Yên
1201	12532	Xã Nguyễn Du	Tỉnh Hưng Yên
1202	12577	Xã Quỳnh An	Tỉnh Hưng Yên
1203	12517	Xã Ngọc Lâm	Tỉnh Hưng Yên
1204	12526	Xã Đồng Bằng	Tỉnh Hưng Yên
1205	12499	Xã A Sào	Tỉnh Hưng Yên
1206	12523	Xã Phụ Dực	Tỉnh Hưng Yên
1207	12478	Xã Tân Tiến	Tỉnh Hưng Yên
1208	12586	Xã Hưng Hà	Tỉnh Hưng Yên
1209	12634	Xã Tiên La	Tỉnh Hưng Yên
1210	12676	Xã Lê Quý Đôn	Tỉnh Hưng Yên
1211	12685	Xã Hồng Minh	Tỉnh Hưng Yên
1212	12631	Xã Thần Khê	Tỉnh Hưng Yên
1213	12619	Xã Diên Hà	Tỉnh Hưng Yên
1214	12595	Xã Ngự Thiên	Tỉnh Hưng Yên
1215	12613	Xã Long Hưng	Tỉnh Hưng Yên
1216	12688	Xã Đông Hưng	Tỉnh Hưng Yên
1217	12700	Xã Bắc Tiên Hưng	Tỉnh Hưng Yên
1218	12736	Xã Đông Tiên Hưng	Tỉnh Hưng Yên
1219	12775	Xã Nam Đông Hưng	Tỉnh Hưng Yên
1220	12745	Xã  Bắc Đông Quan	Tỉnh Hưng Yên
1221	12694	Xã Bắc Đông Hưng	Tỉnh Hưng Yên
1222	12793	Xã Đông Quan	Tỉnh Hưng Yên
1223	12763	Xã Nam Tiên Hưng	Tỉnh Hưng Yên
1224	12754	Xã Tiên Hưng	Tỉnh Hưng Yên
1225	13120	Xã Lê Lợi	Tỉnh Hưng Yên
1226	13075	Xã Kiến Xương	Tỉnh Hưng Yên
1227	13132	Xã Quang Lịch	Tỉnh Hưng Yên
1228	13141	Xã Vũ Quý	Tỉnh Hưng Yên
1229	13183	Xã Bình Thanh	Tỉnh Hưng Yên
1230	13186	Xã Bình Định	Tỉnh Hưng Yên
1231	13159	Xã Hồng Vũ	Tỉnh Hưng Yên
1232	13096	Xã Bình Nguyên	Tỉnh Hưng Yên
1233	13093	Xã Trà Giang	Tỉnh Hưng Yên
1234	13192	Xã Vũ Thư	Tỉnh Hưng Yên
1235	13222	Xã Thư Trì	Tỉnh Hưng Yên
1236	13246	Xã Tân Thuận	Tỉnh Hưng Yên
1237	13264	Xã Thư Vũ	Tỉnh Hưng Yên
1238	13279	Xã Vũ Tiên	Tỉnh Hưng Yên
1239	13219	Xã Vạn Xuân	Tỉnh Hưng Yên
		TỈNH NINH BÌNH	Tỉnh Ninh Bình
1240	14464	Xã Gia Viễn	Tỉnh Ninh Bình
1241	14500	Xã Đại Hoàng	Tỉnh Ninh Bình
1242	14482	Xã Gia Hưng	Tỉnh Ninh Bình
1243	14524	Xã Gia Phong	Tỉnh Ninh Bình
1244	14488	Xã Gia Vân	Tỉnh Ninh Bình
1245	14494	Xã Gia Trấn	Tỉnh Ninh Bình
1246	14428	Xã Nho Quan	Tỉnh Ninh Bình
1247	14389	Xã Gia Lâm	Tỉnh Ninh Bình
1248	14401	Xã Gia Tường	Tỉnh Ninh Bình
1249	14407	Xã Phú Sơn	Tỉnh Ninh Bình
1250	14404	Xã Cúc Phương	Tỉnh Ninh Bình
1251	14458	Xã Phú Long	Tỉnh Ninh Bình
1252	14434	Xã Thanh Sơn	Tỉnh Ninh Bình
1253	14452	Xã Quỳnh Lưu	Tỉnh Ninh Bình
1254	14560	Xã Yên Khánh	Tỉnh Ninh Bình
1255	14611	Xã Khánh Nhạc	Tỉnh Ninh Bình
1256	14563	Xã Khánh Thiện	Tỉnh Ninh Bình
1257	14599	Xã Khánh Hội	Tỉnh Ninh Bình
1258	14608	Xã Khánh Trung	Tỉnh Ninh Bình
1259	14701	Xã Yên Mô	Tỉnh Ninh Bình
1260	14728	Xã Yên Từ	Tỉnh Ninh Bình
1261	14743	Xã Yên Mạc	Tỉnh Ninh Bình
1262	14746	Xã Đồng Thái	Tỉnh Ninh Bình
1263	14653	Xã Chất Bình	Tỉnh Ninh Bình
1264	14638	Xã Kim Sơn	Tỉnh Ninh Bình
1265	14647	Xã Quang Thiện	Tỉnh Ninh Bình
1266	14620	Xã Phát Diệm	Tỉnh Ninh Bình
1267	14674	Xã Lai Thành	Tỉnh Ninh Bình
1268	14677	Xã Định Hóa	Tỉnh Ninh Bình
1269	14623	Xã Bình Minh	Tỉnh Ninh Bình
1270	14698	Xã Kim Đông	Tỉnh Ninh Bình
1271	13504	Xã Bình Lục	Tỉnh Ninh Bình
1272	13501	Xã Bình Mỹ	Tỉnh Ninh Bình
1273	13540	Xã Bình An	Tỉnh Ninh Bình
1274	13531	Xã Bình Giang	Tỉnh Ninh Bình
1275	13558	Xã Bình Sơn	Tỉnh Ninh Bình
1276	13456	Xã Liêm Hà	Tỉnh Ninh Bình
1277	13474	Xã Tân Thanh	Tỉnh Ninh Bình
1278	13483	Xã Thanh Bình	Tỉnh Ninh Bình
1279	13489	Xã Thanh Lâm	Tỉnh Ninh Bình
1280	13495	Xã Thanh Liêm	Tỉnh Ninh Bình
1281	13573	Xã Lý Nhân	Tỉnh Ninh Bình
1282	13591	Xã Nam Xang	Tỉnh Ninh Bình
1283	13579	Xã Bắc Lý	Tỉnh Ninh Bình
1284	13597	Xã Vĩnh Trụ	Tỉnh Ninh Bình
1285	13594	Xã Trần Thương	Tỉnh Ninh Bình
1286	13609	Xã Nhân Hà	Tỉnh Ninh Bình
1287	13627	Xã Nam Lý	Tỉnh Ninh Bình
1288	13966	Xã Nam Trực	Tỉnh Ninh Bình
1289	14011	Xã Nam Minh	Tỉnh Ninh Bình
1290	14014	Xã Nam Đồng	Tỉnh Ninh Bình
1291	14005	Xã Nam Ninh	Tỉnh Ninh Bình
1292	13987	Xã Nam Hồng	Tỉnh Ninh Bình
1293	13750	Xã Minh Tân	Tỉnh Ninh Bình
1294	13753	Xã Hiển Khánh	Tỉnh Ninh Bình
1295	13741	Xã Vụ Bản	Tỉnh Ninh Bình
1296	13786	Xã Liên Minh	Tỉnh Ninh Bình
1297	13795	Xã Ý Yên	Tỉnh Ninh Bình
1298	13879	Xã Yên Đồng	Tỉnh Ninh Bình
1299	13870	Xã Yên Cường	Tỉnh Ninh Bình
1300	13864	Xã Vạn Thắng	Tỉnh Ninh Bình
1301	13834	Xã Vũ Dương	Tỉnh Ninh Bình
1302	13807	Xã Tân Minh	Tỉnh Ninh Bình
1303	13822	Xã Phong Doanh	Tỉnh Ninh Bình
1304	14026	Xã Cổ Lễ	Tỉnh Ninh Bình
1305	14038	Xã Ninh Giang	Tỉnh Ninh Bình
1306	14056	Xã Cát Thành	Tỉnh Ninh Bình
1307	14053	Xã Trực Ninh	Tỉnh Ninh Bình
1308	14062	Xã Quang Hưng	Tỉnh Ninh Bình
1309	14071	Xã Minh Thái	Tỉnh Ninh Bình
1310	14077	Xã Ninh Cường	Tỉnh Ninh Bình
1311	14089	Xã Xuân Trường	Tỉnh Ninh Bình
1312	14122	Xã Xuân Hưng	Tỉnh Ninh Bình
1313	14104	Xã  Xuân Giang	Tỉnh Ninh Bình
1314	14095	Xã Xuân Hồng	Tỉnh Ninh Bình
1315	14215	Xã Hải Hậu	Tỉnh Ninh Bình
1316	14236	Xã Hải Anh	Tỉnh Ninh Bình
1317	14218	Xã Hải Tiến	Tỉnh Ninh Bình
1318	14248	Xã Hải Hưng	Tỉnh Ninh Bình
1319	14281	Xã Hải An	Tỉnh Ninh Bình
1320	14287	Xã Hải Quang	Tỉnh Ninh Bình
1321	14308	Xã Hải Xuân	Tỉnh Ninh Bình
1322	14221	Xã Hải Thịnh	Tỉnh Ninh Bình
1323	14161	Xã Giao Minh	Tỉnh Ninh Bình
1324	14182	Xã Giao Hoà	Tỉnh Ninh Bình
1325	14167	Xã Giao Thuỷ	Tỉnh Ninh Bình
1326	14203	Xã Giao Phúc	Tỉnh Ninh Bình
1327	14179	Xã Giao Hưng	Tỉnh Ninh Bình
1328	14194	Xã Giao Bình	Tỉnh Ninh Bình
1329	14212	Xã Giao Ninh	Tỉnh Ninh Bình
1330	13900	Xã Đồng Thịnh	Tỉnh Ninh Bình
1331	13891	Xã Nghĩa Hưng	Tỉnh Ninh Bình
1332	13918	Xã Nghĩa Sơn	Tỉnh Ninh Bình
1333	13927	Xã Hồng Phong	Tỉnh Ninh Bình
1334	13939	Xã Quỹ Nhất	Tỉnh Ninh Bình
1335	13957	Xã Nghĩa Lâm	Tỉnh Ninh Bình
1336	13894	Xã Rạng Đông	Tỉnh Ninh Bình
1337	14533	Phường Tây Hoa Lư	Tỉnh Ninh Bình
1338	14329	Phường Hoa Lư	Tỉnh Ninh Bình
1339	14359	Phường Nam Hoa Lư	Tỉnh Ninh Bình
1340	14566	Phường Đông Hoa Lư	Tỉnh Ninh Bình
1341	14362	Phường Tam Điệp	Tỉnh Ninh Bình
1342	14371	Phường Yên Sơn	Tỉnh Ninh Bình
1343	14365	Phường Trung Sơn	Tỉnh Ninh Bình
1344	14725	Phường Yên Thắng	Tỉnh Ninh Bình
1345	13366	Phường Hà Nam	Tỉnh Ninh Bình
1346	13291	Phường Phủ Lý	Tỉnh Ninh Bình
1347	13318	Phường Phù Vân	Tỉnh Ninh Bình
1348	13285	Phường Châu Sơn	Tỉnh Ninh Bình
1349	13444	Phường Liêm Tuyền	Tỉnh Ninh Bình
1350	13324	Phường Duy Tiên	Tỉnh Ninh Bình
1351	13330	Phường Duy Tân	Tỉnh Ninh Bình
1352	13348	Phường Đồng Văn	Tỉnh Ninh Bình
1353	13336	Phường Duy Hà	Tỉnh Ninh Bình
1354	13363	Phường Tiên Sơn	Tỉnh Ninh Bình
1355	13393	Phường Lê Hồ	Tỉnh Ninh Bình
1356	13396	Phường Nguyễn Uý	Tỉnh Ninh Bình
1357	13435	Phường Lý Thường Kiệt	Tỉnh Ninh Bình
1358	13402	Phường Kim Thanh	Tỉnh Ninh Bình
1359	13420	Phường Tam Chúc	Tỉnh Ninh Bình
1360	13384	Phường Kim Bảng	Tỉnh Ninh Bình
1361	13666	Phường Nam Định	Tỉnh Ninh Bình
1362	13684	Phường Thiên Trường	Tỉnh Ninh Bình
1363	13693	Phường Đông A	Tỉnh Ninh Bình
1364	13972	Phường Vị Khê	Tỉnh Ninh Bình
1365	13699	Phường Thành Nam	Tỉnh Ninh Bình
1366	13777	Phường Trường Thi	Tỉnh Ninh Bình
1367	13984	Phường Hồng Quang	Tỉnh Ninh Bình
1368	13735	Phường Mỹ Lộc	Tỉnh Ninh Bình
		TỈNH THANH HÓA	Tỉnh Thanh Hóa
1369	14797	Phường Hạc Thành	Tỉnh Thanh Hóa
1370	16522	Phường Quảng Phú	Tỉnh Thanh Hóa
1371	16417	Phường Đông Quang	Tỉnh Thanh Hóa
1372	16378	Phường Đông Sơn	Tỉnh Thanh Hóa
1373	15853	Phường Đông Tiến	Tỉnh Thanh Hóa
1374	14758	Phường Hàm Rồng	Tỉnh Thanh Hóa
1375	15925	Phường Nguyệt Viên	Tỉnh Thanh Hóa
1376	16531	Phường Sầm Sơn	Tỉnh Thanh Hóa
1377	16516	Phường Nam Sầm Sơn	Tỉnh Thanh Hóa
1378	14812	Phường Bỉm Sơn	Tỉnh Thanh Hóa
1379	14818	Phường Quang Trung	Tỉnh Thanh Hóa
1380	16576	Phường Ngọc Sơn	Tỉnh Thanh Hóa
1381	16594	Phường Tân Dân	Tỉnh Thanh Hóa
1382	16597	Phường Hải Lĩnh	Tỉnh Thanh Hóa
1383	16561	Phường Tĩnh Gia	Tỉnh Thanh Hóa
1384	16609	Phường Đào Duy Tư	Tỉnh Thanh Hóa
1385	16645	Phường Hải Bình	Tỉnh Thanh Hóa
1386	16624	Phường Trúc Lâm	Tỉnh Thanh Hóa
1387	16654	Phường Nghi Sơn	Tỉnh Thanh Hóa
1388	16591	Xã Các Sơn	Tỉnh Thanh Hóa
1389	16636	Xã Trường Lâm	Tỉnh Thanh Hóa
1390	15271	Xã Hà Trung	Tỉnh Thanh Hóa
1391	15316	Xã Tống Sơn	Tỉnh Thanh Hóa
1392	15274	Xã Hà Long	Tỉnh Thanh Hóa
1393	15286	Xã Hoạt Giang	Tỉnh Thanh Hóa
1394	15298	Xã Lĩnh Toại	Tỉnh Thanh Hóa
1395	16021	Xã Triệu Lộc	Tỉnh Thanh Hóa
1396	16033	Xã Đông Thành	Tỉnh Thanh Hóa
1397	16012	Xã Hậu Lộc	Tỉnh Thanh Hóa
1398	16063	Xã Hoa Lộc	Tỉnh Thanh Hóa
1399	16078	Xã Vạn Lộc	Tỉnh Thanh Hóa
1400	16093	Xã Nga Sơn	Tỉnh Thanh Hóa
1401	16114	Xã Nga Thắng	Tỉnh Thanh Hóa
1402	16138	Xã Hồ Vương	Tỉnh Thanh Hóa
1403	16108	Xã Tân Tiến	Tỉnh Thanh Hóa
1404	16144	Xã Nga An	Tỉnh Thanh Hóa
1405	16171	Xã Ba Đình	Tỉnh Thanh Hóa
1406	15865	Xã Hoằng Hóa	Tỉnh Thanh Hóa
1407	15991	Xã Hoằng Tiến	Tỉnh Thanh Hóa
1408	16000	Xã Hoằng Thanh	Tỉnh Thanh Hóa
1409	15961	Xã Hoằng Lộc	Tỉnh Thanh Hóa
1410	15976	Xã Hoằng Châu	Tỉnh Thanh Hóa
1411	15910	Xã Hoằng Sơn	Tỉnh Thanh Hóa
1412	15889	Xã Hoằng Phú	Tỉnh Thanh Hóa
1413	15880	Xã Hoằng Giang	Tỉnh Thanh Hóa
1414	16438	Xã Lưu Vệ	Tỉnh Thanh Hóa
1415	16480	Xã Quảng Yên	Tỉnh Thanh Hóa
1416	16498	Xã Quảng Ngọc	Tỉnh Thanh Hóa
1417	16540	Xã Quảng Ninh	Tỉnh Thanh Hóa
1418	16543	Xã Quảng Bình	Tỉnh Thanh Hóa
1419	16549	Xã Tiên Trang	Tỉnh Thanh Hóa
1420	16489	Xã Quảng Chính	Tỉnh Thanh Hóa
1421	16279	Xã Nông Cống	Tỉnh Thanh Hóa
1422	16309	Xã Thắng Lợi	Tỉnh Thanh Hóa
1423	16297	Xã Trung Chính	Tỉnh Thanh Hóa
1424	16348	Xã Trường Văn	Tỉnh Thanh Hóa
1425	16342	Xã Thăng Bình	Tỉnh Thanh Hóa
1426	16363	Xã Tượng Lĩnh	Tỉnh Thanh Hóa
1427	16369	Xã Công Chính	Tỉnh Thanh Hóa
1428	15772	Xã Thiệu Hóa	Tỉnh Thanh Hóa
1429	15796	Xã Thiệu Quang	Tỉnh Thanh Hóa
1430	15778	Xã Thiệu Tiến	Tỉnh Thanh Hóa
1431	15820	Xã Thiệu Toán	Tỉnh Thanh Hóa
1432	15835	Xã Thiệu Trung	Tỉnh Thanh Hóa
1433	15469	Xã Yên Định	Tỉnh Thanh Hóa
1434	15421	Xã Yên Trường	Tỉnh Thanh Hóa
1435	15409	Xã Yên Phú	Tỉnh Thanh Hóa
1436	15412	Xã Quý Lộc	Tỉnh Thanh Hóa
1437	15442	Xã Yên Ninh	Tỉnh Thanh Hóa
1438	15457	Xã Định Tân	Tỉnh Thanh Hóa
1439	15448	Xã Định Hòa	Tỉnh Thanh Hóa
1440	15499	Xã Thọ Xuân	Tỉnh Thanh Hóa
1441	15505	Xã Thọ Long	Tỉnh Thanh Hóa
1442	15520	Xã Xuân Hòa	Tỉnh Thanh Hóa
1443	15553	Xã Sao Vàng	Tỉnh Thanh Hóa
1444	15544	Xã Lam Sơn	Tỉnh Thanh Hóa
1445	15568	Xã Thọ Lập	Tỉnh Thanh Hóa
1446	15574	Xã Xuân Tín	Tỉnh Thanh Hóa
1447	15592	Xã Xuân Lập	Tỉnh Thanh Hóa
1448	15349	Xã Vĩnh Lộc	Tỉnh Thanh Hóa
1449	15361	Xã Tây Đô	Tỉnh Thanh Hóa
1450	15382	Xã Biện Thượng	Tỉnh Thanh Hóa
1451	15664	Xã Triệu Sơn	Tỉnh Thanh Hóa
1452	15667	Xã Thọ Bình	Tỉnh Thanh Hóa
1453	15754	Xã Thọ Ngọc	Tỉnh Thanh Hóa
1454	15763	Xã Thọ Phú	Tỉnh Thanh Hóa
1455	15682	Xã Hợp Tiến	Tỉnh Thanh Hóa
1456	15766	Xã An Nông	Tỉnh Thanh Hóa
1457	15718	Xã Tân Ninh	Tỉnh Thanh Hóa
1458	15724	Xã Đồng Tiến	Tỉnh Thanh Hóa
1459	14866	Xã Mường Chanh	Tỉnh Thanh Hóa
1460	14860	Xã Quang Chiểu	Tỉnh Thanh Hóa
1461	14848	Xã Tam Chung	Tỉnh Thanh Hóa
1462	14845	Xã Mường Lát	Tỉnh Thanh Hóa
1463	14863	Xã Pù Nhi	Tỉnh Thanh Hóa
1464	14864	Xã Nhi Sơn	Tỉnh Thanh Hóa
1465	14854	Xã Mường Lý	Tỉnh Thanh Hóa
1466	14857	Xã Trung Lý	Tỉnh Thanh Hóa
1467	14869	Xã Hồi Xuân	Tỉnh Thanh Hóa
1468	14902	Xã Nam Xuân	Tỉnh Thanh Hóa
1469	14908	Xã Thiên Phủ	Tỉnh Thanh Hóa
1470	14896	Xã Hiền Kiệt	Tỉnh Thanh Hóa
1471	14890	Xã Phú Xuân	Tỉnh Thanh Hóa
1472	14878	Xã Phú Lệ	Tỉnh Thanh Hóa
1473	14872	Xã Trung Thành	Tỉnh Thanh Hóa
1474	14875	Xã Trung Sơn	Tỉnh Thanh Hóa
1475	15013	Xã Na Mèo	Tỉnh Thanh Hóa
1476	15010	Xã Sơn Thủy	Tỉnh Thanh Hóa
1477	15022	Xã Sơn Điện	Tỉnh Thanh Hóa
1478	15025	Xã Mường Mìn	Tỉnh Thanh Hóa
1479	15007	Xã Tam Thanh	Tỉnh Thanh Hóa
1480	15019	Xã Tam Lư	Tỉnh Thanh Hóa
1481	15016	Xã Quan Sơn	Tỉnh Thanh Hóa
1482	15001	Xã Trung Hạ	Tỉnh Thanh Hóa
1483	15055	Xã Linh Sơn	Tỉnh Thanh Hóa
1484	15058	Xã Đồng Lương	Tỉnh Thanh Hóa
1485	15049	Xã Văn Phú	Tỉnh Thanh Hóa
1486	15043	Xã Giao An	Tỉnh Thanh Hóa
1487	15031	Xã Yên Khương	Tỉnh Thanh Hóa
1488	15034	Xã Yên Thắng	Tỉnh Thanh Hóa
1489	14974	Xã Văn Nho	Tỉnh Thanh Hóa
1490	14980	Xã Thiết Ống	Tỉnh Thanh Hóa
1491	14923	Xã Bá Thước	Tỉnh Thanh Hóa
1492	14959	Xã Cổ Lũng	Tỉnh Thanh Hóa
1493	14956	Xã Pù Luông	Tỉnh Thanh Hóa
1494	14950	Xã Điền Lư	Tỉnh Thanh Hóa
1495	14932	Xã Điền Quang	Tỉnh Thanh Hóa
1496	14953	Xã Quý Lương	Tỉnh Thanh Hóa
1497	15061	Xã Ngọc Lặc	Tỉnh Thanh Hóa
1498	15085	Xã Thạch Lập	Tỉnh Thanh Hóa
1499	15091	Xã Ngọc Liên	Tỉnh Thanh Hóa
1500	15124	Xã Minh Sơn	Tỉnh Thanh Hóa
1501	15115	Xã Nguyệt Ấn	Tỉnh Thanh Hóa
1502	15118	Xã Kiên Thọ	Tỉnh Thanh Hóa
1503	15142	Xã Cẩm Thạch	Tỉnh Thanh Hóa
1504	15127	Xã Cẩm Thủy	Tỉnh Thanh Hóa
1505	15148	Xã Cẩm Tú	Tỉnh Thanh Hóa
1506	15163	Xã Cẩm Vân	Tỉnh Thanh Hóa
1507	15178	Xã Cẩm Tân	Tỉnh Thanh Hóa
1508	15187	Xã Kim Tân	Tỉnh Thanh Hóa
1509	15190	Xã Vân Du	Tỉnh Thanh Hóa
1510	15250	Xã Ngọc Trạo	Tỉnh Thanh Hóa
1511	15211	Xã Thạch Bình	Tỉnh Thanh Hóa
1512	15229	Xã Thành Vinh	Tỉnh Thanh Hóa
1513	15199	Xã Thạch Quảng	Tỉnh Thanh Hóa
1514	16174	Xã Như Xuân	Tỉnh Thanh Hóa
1515	16225	Xã Thượng Ninh	Tỉnh Thanh Hóa
1516	16177	Xã Xuân Bình	Tỉnh Thanh Hóa
1517	16186	Xã Hóa Quỳ	Tỉnh Thanh Hóa
1518	16207	Xã Thanh Quân	Tỉnh Thanh Hóa
1519	16219	Xã Thanh Phong	Tỉnh Thanh Hóa
1520	16234	Xã Xuân Du	Tỉnh Thanh Hóa
1521	16249	Xã Mậu Lâm	Tỉnh Thanh Hóa
1522	16228	Xã Như Thanh	Tỉnh Thanh Hóa
1523	16264	Xã Yên Thọ	Tỉnh Thanh Hóa
1524	16258	Xã Xuân Thái	Tỉnh Thanh Hóa
1525	16273	Xã Thanh Kỳ	Tỉnh Thanh Hóa
1526	15607	Xã Bát Mọt	Tỉnh Thanh Hóa
1527	15610	Xã Yên Nhân	Tỉnh Thanh Hóa
1528	15628	Xã Lương Sơn	Tỉnh Thanh Hóa
1529	15646	Xã Thường Xuân	Tỉnh Thanh Hóa
1530	15634	Xã Luận Thành	Tỉnh Thanh Hóa
1531	15661	Xã Tân Thành	Tỉnh Thanh Hóa
1532	15622	Xã Vạn Xuân	Tỉnh Thanh Hóa
1533	15643	Xã Thắng Lộc	Tỉnh Thanh Hóa
1534	15658	Xã Xuân Chinh	Tỉnh Thanh Hóa
		TỈNH NGHỆ AN	Tỉnh Nghệ An
1535	17329	Xã Anh Sơn	Tỉnh Nghệ An
1536	17380	Xã Yên Xuân	Tỉnh Nghệ An
1537	17344	Xã Nhân Hòa	Tỉnh Nghệ An
1538	17365	Xã Anh Sơn Đông	Tỉnh Nghệ An
1539	17357	Xã Vĩnh Tường	Tỉnh Nghệ An
1540	17335	Xã Thành Bình Thọ	Tỉnh Nghệ An
1541	17254	Xã Con Cuông	Tỉnh Nghệ An
1542	17263	Xã Môn Sơn	Tỉnh Nghệ An
1543	17239	Xã Mậu Thạch	Tỉnh Nghệ An
1544	17242	Xã Cam Phục	Tỉnh Nghệ An
1545	17248	Xã Châu Khê	Tỉnh Nghệ An
1546	17230	Xã Bình Chuẩn	Tỉnh Nghệ An
1547	17464	Xã Diễn Châu	Tỉnh Nghệ An
1548	17416	Xã Đức Châu	Tỉnh Nghệ An
1549	17443	Xã Quảng Châu	Tỉnh Nghệ An
1550	17419	Xã Hải Châu	Tỉnh Nghệ An
1551	17488	Xã Tân Châu	Tỉnh Nghệ An
1552	17479	Xã An Châu	Tỉnh Nghệ An
1553	17476	Xã Minh Châu	Tỉnh Nghệ An
1554	17395	Xã Hùng Châu	Tỉnh Nghệ An
1555	17662	Xã Đô Lương	Tỉnh Nghệ An
1556	17623	Xã Bạch Ngọc	Tỉnh Nghệ An
1557	17677	Xã Văn Hiến	Tỉnh Nghệ An
1558	17707	Xã Bạch Hà	Tỉnh Nghệ An
1559	17689	Xã Thuần Trung	Tỉnh Nghệ An
1560	17641	Xã Lương Sơn	Tỉnh Nghệ An
1561	17110	Phường Hoàng Mai	Tỉnh Nghệ An
1562	17128	Phường Tân Mai	Tỉnh Nghệ An
1563	17125	Phường Quỳnh Mai	Tỉnh Nghệ An
1564	18001	Xã Hưng Nguyên	Tỉnh Nghệ An
1565	18007	Xã Yên Trung	Tỉnh Nghệ An
1566	18028	Xã Hưng Nguyên Nam	Tỉnh Nghệ An
1567	18040	Xã Lam Thành	Tỉnh Nghệ An
1568	16813	Xã Mường Xén	Tỉnh Nghệ An
1569	16849	Xã Hữu Kiệm	Tỉnh Nghệ An
1570	16837	Xã Nậm Cắn	Tỉnh Nghệ An
1571	16855	Xã Chiêu Lưu	Tỉnh Nghệ An
1572	16834	Xã Na Loi	Tỉnh Nghệ An
1573	16858	Xã Mường Típ	Tỉnh Nghệ An
1574	16870	Xã Na Ngoi	Tỉnh Nghệ An
1575	16816	Xã Mỹ Lý	Tỉnh Nghệ An
1576	16819	Xã Bắc Lý	Tỉnh Nghệ An
1577	16822	Xã Keng Đu	Tỉnh Nghệ An
1578	16828	Xã Huồi Tụ	Tỉnh Nghệ An
1579	16831	Xã Mường Lống	Tỉnh Nghệ An
1580	17950	Xã Vạn An	Tỉnh Nghệ An
1581	17935	Xã Nam Đàn	Tỉnh Nghệ An
1582	17944	Xã Đại Huệ	Tỉnh Nghệ An
1583	17989	Xã Thiên Nhẫn	Tỉnh Nghệ An
1584	17971	Xã Kim Liên	Tỉnh Nghệ An
1585	16941	Xã Nghĩa Đàn	Tỉnh Nghệ An
1586	16969	Xã Nghĩa Thọ	Tỉnh Nghệ An
1587	16951	Xã Nghĩa Lâm	Tỉnh Nghệ An
1588	16975	Xã Nghĩa Mai	Tỉnh Nghệ An
1589	16972	Xã Nghĩa Hưng	Tỉnh Nghệ An
1590	17032	Xã Nghĩa Khánh	Tỉnh Nghệ An
1591	17029	Xã Nghĩa Lộc	Tỉnh Nghệ An
1592	17827	Xã Nghi Lộc	Tỉnh Nghệ An
1593	17857	Xã Phúc Lộc	Tỉnh Nghệ An
1594	17878	Xã Đông Lộc	Tỉnh Nghệ An
1595	17866	Xã Trung Lộc	Tỉnh Nghệ An
1596	17842	Xã Thần Lĩnh	Tỉnh Nghệ An
1597	17833	Xã Hải Lộc	Tỉnh Nghệ An
